"Al Arish, Egypt ",AAC
"Barrow, AK ",BRW
"Bossaro, Somalia ",BSA
"Brasilia, DF, Brazil ",BSB
"Bahia Solano, Colombia ",BSC
"Baoshan, China ",BSD
"Biskra, Algeria ",BSK
"Basel, Switzerland ",BSL
"Basco, Philippines ",BSO
"Batam, Indonesia ",BTH
"Barter Island, AK ",BTI
"Banda Aceh, Indonesia ",BTJ
"Bratsk, Russia ",BTK
"Butte, MT ",BTM
"Baton Rouge, LA ",BTR
"Bratislava, Slovakia ",BTS
"Bettles, AK ",BTT
"Bintulu, Malaysia ",BTU
"Burlington, VT ",BTV
"Buka, Papua New Guinea ",BUA
"Burketown, Australia ",BUC
"Budapest, Hungary ",BUD
"Buffalo, NY ",BUF
"Bokondini, Indonesia ",BUI
"Burao, Somalia ",BUO
"Bulawayo, Zimbabwe ",BUQ
"Burbank, CA ",BUR
"Batumi, Georgia ",BUS
"Bashehr, Iran ",BUZ
"Paris, France - Beauvais-Tille ",BVA
"Boavista, Brazil ",BVB
"Boa Vista, Cape Verde ",BVC
"Brive-La-Gaillarde, France - Laroche",BVE
"Berlevag, Norway ",BVG
"Vilhena, Brazil ",BVH
"Birdsville, Australia ",BVI
"Bhairawa, Nepal ",BWA
"Brawnwood, TX ",BWD
"Braunschweig, Denmark ",BWE
"Bowling Green, KY ",BWG
"Baltimore, MD ",BWI
"Bol, Croatia ",BWK
"Bandar Seri Begawan, Brunei ",BWN
"Brewarrina, Australia ",BWQ
"Burnie, Australia ",BWT
"Babo, Indonesia ",BXB
"Bade, Indonesia ",BXD
"Batom, Indonesia ",BXM
"Bam, Iran ",BXR
"Butuan, Philippines ",BXU
"Bunsil, Papua New Guinea ",BXZ
"Boundary, AK ",BYA
"Bayamo, Cuba ",BYM
"Bayreuth, Germany ",BYU
"Belize City, Belize - International ",BZE
"Bydgoszcz, Poland ",BZG
"Balikesir, Turkey ",BZI
"Barisal, Bangladesh ",BZL
"Bozeman, MT ",BZN
"Bolzano, Italy ",BZO
"Beziers, France ",BZR
"Brazzaville, Congo ",BZV
"Cascavel, Brazil ",CAC
"Columbia, SC ",CAE
"Cagliari, Italy ",CAG
"Cairo, Egypt ",CAI
"Akron/Canton, OH ",CAK
"Canton/Akron, OH ",CAK
"Campbeltown, United Kingdom ",CAL
"Guangzhou, China ",CAN
"Cap Haitien, Haiti ",CAP
"Caucasia, Colombia ",CAQ
"Canaima, Venezuela ",CAS
"Casablanca, Morocco - Anfa ",CAS
"Campos, Brazil ",CAW
"Cayenne, French Guiana ",CAY
"Cobar, Australia ",CAZ
"Cochabamba, Bolivia ",CBB
"Cumberland, MD ",CBE
"Cambridge, United Kingdom ",CBG
"Bechar, Algeria ",CBH
"Ciudad Bolivar, Venezuela ",CBL
"Cotabato, Philippines ",CBO
"Calabar, Nigeria ",CBQ
"Canberra, Australia ",CBR
"Carcassonne, France ",CCF
"Kozhikode, India ",CCJ
"Criciuma, Brazil ",CCM
"Concepcion, Chile ",CCP
"Concord, CA ",CCR
"Caracas, Venezuela ",CCS
"Calcutta, India ",CCU
"Kolkata, India ",CCU
